A,State/U.S. Island Area/Foreign Region of Geography B,B,Net_B2A
Los Angeles County,Ohio,Mahoning County,-62
Los Angeles County,Ohio,Medina County,73
Los Angeles County,Ohio,Meigs County,-21
Los Angeles County,Ohio,Miami County,0
Los Angeles County,Ohio,Montgomery County,-103
Los Angeles County,Ohio,Portage County,6
Los Angeles County,Ohio,Putnam County,4
Los Angeles County,Ohio,Richland County,-17
Los Angeles County,Ohio,Ross County,-59
Los Angeles County,Ohio,Sandusky County,-6
Los Angeles County,Ohio,Shelby County,7
Los Angeles County,Ohio,Stark County,33
Los Angeles County,Ohio,Summit County,23
Los Angeles County,Ohio,Trumbull County,50
Los Angeles County,Ohio,Warren County,57
Los Angeles County,Ohio,Wayne County,13
Los Angeles County,Ohio,Wood County,5
Los Angeles County,Ohio,Wyandot County,-9
Los Angeles County,Oklahoma,Adair County,-10
Los Angeles County,Oklahoma,Beaver County,-6
Los Angeles County,Oklahoma,Bryan County,-1
Los Angeles County,Oklahoma,Caddo County,-2
Los Angeles County,Oklahoma,Canadian County,-6
Los Angeles County,Oklahoma,Cleveland County,-55
Los Angeles County,Oklahoma,Comanche County,-98
Los Angeles County,Oklahoma,Craig County,-4
Los Angeles County,Oklahoma,Ellis County,-1
Los Angeles County,Oklahoma,Garfield County,24
Los Angeles County,Oklahoma,Grady County,27
Los Angeles County,Oklahoma,Jackson County,28
Los Angeles County,Oklahoma,Kay County,-43
Los Angeles County,Oklahoma,Latimer County,-30
Los Angeles County,Oklahoma,Le Flore County,-1
Los Angeles County,Oklahoma,Logan County,-87
Los Angeles County,Oklahoma,Murray County,12
Los Angeles County,Oklahoma,Muskogee County,13
Los Angeles County,Oklahoma,Oklahoma County,40
Los Angeles County,Oklahoma,Okmulgee County,-6
Los Angeles County,Oklahoma,Osage County,14
Los Angeles County,Oklahoma,Ottawa County,-6
Los Angeles County,Oklahoma,Payne County,-11
Los Angeles County,Oklahoma,Pottawatomie County,95
Los Angeles County,Oklahoma,Rogers County,-20
Los Angeles County,Oklahoma,Sequoyah County,-3
Los Angeles County,Oklahoma,Tillman County,-5
Los Angeles County,Oklahoma,Tulsa County,-169
Los Angeles County,Oklahoma,Wagoner County,4
Los Angeles County,Oregon,Benton County,-42
Los Angeles County,Oregon,Clackamas County,-134
Los Angeles County,Oregon,Clatsop County,-32
Los Angeles County,Oregon,Columbia County,-117
Los Angeles County,Oregon,Coos County,-73
Los Angeles County,Oregon,Curry County,35
Los Angeles County,Oregon,Deschutes County,-1017
Los Angeles County,Oregon,Douglas County,-113
Los Angeles County,Oregon,Gilliam County,-3
Los Angeles County,Oregon,Hood River County,-3
Los Angeles County,Oregon,Jackson County,427
Los Angeles County,Oregon,Jefferson County,-71
Los Angeles County,Oregon,Josephine County,-209
Los Angeles County,Oregon,Klamath County,-5
Los Angeles County,Oregon,Lane County,-802
Los Angeles County,Oregon,Lincoln County,-62
Los Angeles County,Oregon,Malheur County,-10
Los Angeles County,Oregon,Marion County,0
Los Angeles County,Oregon,Multnomah County,-540
Los Angeles County,Oregon,Polk County,-44
Los Angeles County,Oregon,Union County,-71
Los Angeles County,Oregon,Wasco County,-24
Los Angeles County,Oregon,Washington County,-735
Los Angeles County,Oregon,Yamhill County,-138
Los Angeles County,Pennsylvania,Adams County,-24
Los Angeles County,Pennsylvania,Allegheny County,14
Los Angeles County,Pennsylvania,Allegheny County,9
Los Angeles County,Pennsylvania,Allegheny County,3
Los Angeles County,Pennsylvania,Allegheny County,-213
Los Angeles County,Pennsylvania,Allegheny County,-22
Los Angeles County,Pennsylvania,Allegheny County,-43
Los Angeles County,Pennsylvania,Allegheny County,-9
Los Angeles County,Pennsylvania,Allegheny County,-10
Los Angeles County,Pennsylvania,Allegheny County,-26
Los Angeles County,Pennsylvania,Allegheny County,-21
Los Angeles County,Pennsylvania,Allegheny County,30
Los Angeles County,Pennsylvania,Allegheny County,327
Los Angeles County,Pennsylvania,Allegheny County,-47
Los Angeles County,Pennsylvania,Allegheny County,16
Los Angeles County,Pennsylvania,Allegheny County,6
Los Angeles County,Pennsylvania,Armstrong County,-3
Los Angeles County,Pennsylvania,Beaver County,8
Los Angeles County,Pennsylvania,Beaver County,-5
Los Angeles County,Pennsylvania,Berks County,-16
Los Angeles County,Pennsylvania,Berks County,28
Los Angeles County,Pennsylvania,Berks County,-11
Los Angeles County,Pennsylvania,Blair County,-10
Los Angeles County,Pennsylvania,Bucks County,27
Los Angeles County,Pennsylvania,Bucks County,-35
Los Angeles County,Pennsylvania,Bucks County,12
Los Angeles County,Pennsylvania,Butler County,-1
Los Angeles County,Pennsylvania,Butler County,-3
Los Angeles County,Pennsylvania,Cambria County,-7
Los Angeles County,Pennsylvania,Cambria County,-9
Los Angeles County,Pennsylvania,Cambria County,-4
Los Angeles County,Pennsylvania,Centre County,22
Los Angeles County,Pennsylvania,Centre County,43
Los Angeles County,Pennsylvania,Centre County,-14
Los Angeles County,Pennsylvania,Centre County,-106
Los Angeles County,Pennsylvania,Chester County,-7
Los Angeles County,Pennsylvania,Chester County,14
Los Angeles County,Pennsylvania,Chester County,-5
Los Angeles County,Pennsylvania,Chester County,19
Los Angeles County,Pennsylvania,Chester County,-24
Los Angeles County,Pennsylvania,Chester County,-7
Los Angeles County,Pennsylvania,Chester County,-28
Los Angeles County,Pennsylvania,Chester County,11
Los Angeles County,Pennsylvania,Chester County,-22
Los Angeles County,Pennsylvania,Chester County,-17
Los Angeles County,Pennsylvania,Chester County,14
Los Angeles County,Pennsylvania,Clearfield County,-16
Los Angeles County,Pennsylvania,Cumberland County,10
Los Angeles County,Pennsylvania,Cumberland County,9
Los Angeles County,Pennsylvania,Cumberland County,50
Los Angeles County,Pennsylvania,Dauphin County,108
Los Angeles County,Pennsylvania,Dauphin County,-12
Los Angeles County,Pennsylvania,Dauphin County,-23
Los Angeles County,Pennsylvania,Dauphin County,19
Los Angeles County,Pennsylvania,Delaware County,-9
Los Angeles County,Pennsylvania,Delaware County,12
Los Angeles County,Pennsylvania,Delaware County,-4
Los Angeles County,Pennsylvania,Delaware County,5
Los Angeles County,Pennsylvania,Delaware County,-11
Los Angeles County,Pennsylvania,Delaware County,-25
Los Angeles County,Pennsylvania,Delaware County,22
Los Angeles County,Pennsylvania,Delaware County,-32
Los Angeles County,Pennsylvania,Delaware County,-11
Los Angeles County,Pennsylvania,Erie County,-21
Los Angeles County,Pennsylvania,Erie County,-17
Los Angeles County,Pennsylvania,Erie County,-35
Los Angeles County,Pennsylvania,Erie County,10
Los Angeles County,Pennsylvania,Franklin County,2
Los Angeles County,Pennsylvania,Franklin County,16
Los Angeles County,Pennsylvania,Franklin County,-11
Los Angeles County,Pennsylvania,Franklin County,-13
Los Angeles County,Pennsylvania,Jefferson County,-3
Los Angeles County,Pennsylvania,Lackawanna County,-8
Los Angeles County,Pennsylvania,Lancaster County,-12
Los Angeles County,Pennsylvania,Lancaster County,-20
Los Angeles County,Pennsylvania,Lancaster County,-18
Los Angeles County,Pennsylvania,Lancaster County,15
Los Angeles County,Pennsylvania,Lancaster County,-11
Los Angeles County,Pennsylvania,Lancaster County,5
Los Angeles County,Pennsylvania,Lebanon County,-6
Los Angeles County,Pennsylvania,Lebanon County,-6
Los Angeles County,Pennsylvania,Lebanon County,-25
Los Angeles County,Pennsylvania,Lebanon County,4
Los Angeles County,Pennsylvania,Lehigh County,2
Los Angeles County,Pennsylvania,Lehigh County,-11
Los Angeles County,Pennsylvania,Luzerne County,-120
Los Angeles County,Pennsylvania,Luzerne County,15
Los Angeles County,Pennsylvania,Luzerne County,-108
Los Angeles County,Pennsylvania,Luzerne County,8
Los Angeles County,Pennsylvania,Luzerne County,-8
Los Angeles County,Pennsylvania,Lycoming County,-43
Los Angeles County,Pennsylvania,McKean County,-23
Los Angeles County,Pennsylvania,Mifflin County,-9
Los Angeles County,Pennsylvania,Mifflin County,-14
Los Angeles County,Pennsylvania,Monroe County,-43
Los Angeles County,Pennsylvania,Monroe County,-14
Los Angeles County,Pennsylvania,Monroe County,-14
Los Angeles County,Pennsylvania,Montgomery County,221
Los Angeles County,Pennsylvania,Montgomery County,89
Los Angeles County,Pennsylvania,Montgomery County,8
Los Angeles County,Pennsylvania,Montgomery County,-2
Los Angeles County,Pennsylvania,Montgomery County,30
Los Angeles County,Pennsylvania,Montgomery County,6
Los Angeles County,Pennsylvania,Montour County,-4
Los Angeles County,Pennsylvania,Northampton County,-37
Los Angeles County,Pennsylvania,Northampton County,-8
Los Angeles County,Pennsylvania,Northampton County,10
Los Angeles County,Pennsylvania,Northampton County,17
Los Angeles County,Pennsylvania,Northampton County,-15
Los Angeles County,Pennsylvania,Philadelphia County,301
Los Angeles County,Pennsylvania,Pike County,13
Los Angeles County,Pennsylvania,Pike County,-4
Los Angeles County,Pennsylvania,Somerset County,-6
Los Angeles County,Pennsylvania,Union County,-14
Los Angeles County,Pennsylvania,Union County,-26
Los Angeles County,Pennsylvania,Washington County,11
Los Angeles County,Pennsylvania,Westmoreland County,20
Los Angeles County,Pennsylvania,Westmoreland County,10
Los Angeles County,Pennsylvania,Westmoreland County,1
Los Angeles County,Pennsylvania,Westmoreland County,-19
Los Angeles County,Pennsylvania,York County,7
Los Angeles County,Pennsylvania,York County,-45
Los Angeles County,Pennsylvania,York County,-5
Los Angeles County,Pennsylvania,York County,13
Los Angeles County,Pennsylvania,York County,23
Los Angeles County,Pennsylvania,York County,27
Los Angeles County,Pennsylvania,York County,-5
Los Angeles County,Pennsylvania,York County,-7
Los Angeles County,Rhode Island,Kent County,-47
Los Angeles County,Rhode Island,Providence County,6
Los Angeles County,Rhode Island,Providence County,21
Los Angeles County,Rhode Island,Providence County,-62
Los Angeles County,Rhode Island,Providence County,8
Los Angeles County,Rhode Island,Providence County,54
Los Angeles County,Rhode Island,Providence County,-223
Los Angeles County,Rhode Island,Providence County,-23
Los Angeles County,Rhode Island,Providence County,-21
Los Angeles County,South Carolina,Beaufort County,-66
Los Angeles County,South Carolina,Berkeley County,-82
Los Angeles County,South Carolina,Charleston County,-5
Los Angeles County,South Carolina,Chesterfield County,-6
Los Angeles County,South Carolina,Georgetown County,-15
Los Angeles County,South Carolina,Greenville County,-126
Los Angeles County,South Carolina,Greenwood County,28
Los Angeles County,South Carolina,Horry County,14
Los Angeles County,South Carolina,Jasper County,84
Los Angeles County,South Carolina,Laurens County,-54
Los Angeles County,South Carolina,Lexington County,-20
Los Angeles County,South Carolina,Newberry County,-14
Los Angeles County,South Carolina,Oconee County,-8
Los Angeles County,South Carolina,Orangeburg County,19
Los Angeles County,South Carolina,Pickens County,15
Los Angeles County,South Carolina,Richland County,-228
Los Angeles County,South Carolina,Spartanburg County,-103
Los Angeles County,South Carolina,York County,-17
Los Angeles County,South Dakota,Bennett County,9
Los Angeles County,South Dakota,Brookings County,29
Los Angeles County,South Dakota,Brown County,11
Los Angeles County,South Dakota,Clay County,36
Los Angeles County,South Dakota,Gregory County,-3
Los Angeles County,South Dakota,Hanson County,-1
Los Angeles County,South Dakota,Hughes County,14
Los Angeles County,South Dakota,Kingsbury County,-3
Los Angeles County,South Dakota,Lawrence County,-63
Los Angeles County,South Dakota,Lincoln County,-70
Los Angeles County,South Dakota,Meade County,-7
Los Angeles County,South Dakota,Minnehaha County,3
Los Angeles County,South Dakota,Moody County,-36
Los Angeles County,South Dakota,Pennington County,-12
Los Angeles County,South Dakota,Yankton County,-5
Los Angeles County,Tennessee,Anderson County,31
Los Angeles County,Tennessee,Benton County,-2
Los Angeles County,Tennessee,Bradley County,-117
Los Angeles County,Tennessee,Campbell County,-26
Los Angeles County,Tennessee,Carter County,-11
Los Angeles County,Tennessee,Cumberland County,14
Los Angeles County,Tennessee,Davidson County,-82
Los Angeles County,Tennessee,Dickson County,8
Los Angeles County,Tennessee,Franklin County,-29
Los Angeles County,Tennessee,Greene County,-3
Los Angeles County,Tennessee,Hamblen County,-39
Los Angeles County,Tennessee,Hamilton County,-96
Los Angeles County,Tennessee,Henry County,-76
Los Angeles County,Tennessee,Jefferson County,-11
Los Angeles County,Tennessee,Knox County,201
Los Angeles County,Tennessee,McMinn County,-61
Los Angeles County,Tennessee,Montgomery County,-66
Los Angeles County,Tennessee,Putnam County,8
Los Angeles County,Tennessee,Rutherford County,5
Los Angeles County,Tennessee,Shelby County,134
Los Angeles County,Tennessee,Sullivan County,-48
Los Angeles County,Tennessee,Sumner County,-86
Los Angeles County,Tennessee,Tipton County,-15
Los Angeles County,Tennessee,Washington County,-24
Los Angeles County,Tennessee,Williamson County,-226
Los Angeles County,Texas,Angelina County,-16
Los Angeles County,Texas,Bell County,7
Los Angeles County,Texas,Bexar County,-396
Los Angeles County,Texas,Bosque County,-2
Los Angeles County,Texas,Bowie County,59
Los Angeles County,Texas,Brazoria County,-64
Los Angeles County,Texas,Brazos County,-75
Los Angeles County,Texas,Brooks County,-7
Los Angeles County,Texas,Brown County,-16
Los Angeles County,Texas,Cameron County,3
Los Angeles County,Texas,Carson County,-2
Los Angeles County,Texas,Collin County,-1642
Los Angeles County,Texas,Colorado County,-25
Los Angeles County,Texas,Comal County,-706
Los Angeles County,Texas,Coryell County,-298
Los Angeles County,Texas,Dallas County,-596
Los Angeles County,Texas,Deaf Smith County,213
Los Angeles County,Texas,Denton County,-926
Los Angeles County,Texas,DeWitt County,-42
Los Angeles County,Texas,Ector County,-226
Los Angeles County,Texas,El Paso County,-23
Los Angeles County,Texas,Fannin County,-14
Los Angeles County,Texas,Fort Bend County,-179
Los Angeles County,Texas,Galveston County,54
Los Angeles County,Texas,Garza County,-8
Los Angeles County,Texas,Grayson County,-9
Los Angeles County,Texas,Gregg County,10
Los Angeles County,Texas,Grimes County,-1
Los Angeles County,Texas,Guadalupe County,70
Los Angeles County,Texas,Hale County,-2
Los Angeles County,Texas,Hansford County,-69
Los Angeles County,Texas,Hardin County,-43
Los Angeles County,Texas,Harris County,-1437
Los Angeles County,Texas,Hays County,-162
Los Angeles County,Texas,Henderson County,-16
Los Angeles County,Texas,Hidalgo County,23
Los Angeles County,Texas,Hill County,-11
